timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-10-15T20:26:38,codecarbon,39549ba8-7e9a-49e7-9fce-5b7866f49bd4,0.0090086460113525,6.3639601286914615e-09,7.064280382059313e-07,42.5,0.0,5.899106025695801,9.443478451834784e-08,0,0.0,9.443478451834784e-08,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-15T20:26:45,codecarbon,8ca1dfc3-17ad-43ad-9360-b407cf27307b,0.0089044570922851,6.466046056977682e-09,7.261583710229656e-07,42.5,0.0,5.899106025695801,9.446856048372057e-08,0,1.481076806347422e-09,9.5949637290068e-08,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-15T20:26:48,codecarbon,8d1e1a81-6e63-4e34-959f-274f8ccda442,0.0100002288818359,7.270009534524894e-09,7.269843141020385e-07,42.5,0.0,5.899106025695801,1.0624229907989502e-07,0,1.6373497481936283e-09,1.0787964882808865e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-15T20:26:59,codecarbon,f6454ec7-0caa-4e00-979b-0cbdfe529d4c,0.0089995861053466,6.474949153050481e-09,7.194718820684093e-07,42.5,0.0,5.899106025695801,9.444322850969105e-08,0,1.638521795257475e-09,9.608175030494853e-08,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-15T20:27:02,codecarbon,b9127a4c-3530-4831-b6c3-480b523c86bc,0.0087971687316894,6.290193859957854e-09,7.150248053443728e-07,42.5,0.0,5.899106025695801,9.204232030444677e-08,0,1.297846782032744e-09,9.334016708647953e-08,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-15T20:27:23,codecarbon,b2f18868-69c4-4821-bc99-1f77dd01470f,0.0070006847381591,5.569579483734238e-09,7.95576388888889e-07,42.5,0.0,5.899106025695801,8.26469726032681e-08,0,0.0,8.26469726032681e-08,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T01:53:00,codecarbon,ac489cca-994f-43a2-adb9-30954dcb023a,0.009096622467041,7.3487417852225505e-09,8.07853883334017e-07,42.5,0.0,5.899106025695801,1.0739068190256754e-07,0,1.6572745482790195e-09,1.0904795645084657e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T01:53:09,codecarbon,ebcb5b49-a0be-480a-b0a6-6a75ddffd2c3,0.0090978145599365,7.359089312127861e-09,8.088853937004412e-07,42.5,0.0,5.899106025695801,1.0740475522147288e-07,0,1.796748148876759e-09,1.0920150337034964e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T01:53:12,codecarbon,c9edd31a-c8df-4c1d-a3d0-28c059ec2dd2,0.0088939666748046,7.1741652833218435e-09,8.066328046455592e-07,42.5,0.0,5.899106025695801,1.0499821768866648e-07,0,1.459198594488953e-09,1.0645741628315541e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T01:53:14,codecarbon,c33770a2-31c1-4a41-9874-06bcd64ab15f,0.0080244541168212,6.3840662290652605e-09,7.95576388888889e-07,42.5,0.0,5.899106025695801,9.473313887914022e-08,0,0.0,9.473313887914022e-08,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
